date,close,SMA_50,SMA_200
2024-07-18,224.18,,
2024-07-19,224.31,,
2024-07-22,223.96,,
2024-07-23,225.01,,
2024-07-24,218.54,,
2024-07-25,217.49,,
2024-07-26,217.96,,
2024-07-29,218.24,,
2024-07-30,218.8,,
2024-07-31,222.08,,
2024-08-01,218.36,,
2024-08-02,219.86,,
2024-08-05,209.27,,
2024-08-06,207.23,,
2024-08-07,209.82,,
2024-08-08,213.31,,
2024-08-09,216.24,,
2024-08-12,217.53,,
2024-08-13,221.27,,
2024-08-14,221.72,,
2024-08-15,224.72,,
2024-08-16,226.05,,
2024-08-19,225.89,,
2024-08-20,226.51,,
2024-08-21,226.4,,
2024-08-22,224.53,,
2024-08-23,226.84,,
2024-08-26,227.18,,
2024-08-27,228.03,,
2024-08-28,226.49,,
2024-08-29,229.79,,
2024-08-30,229.0,,
2024-09-03,222.77,,
2024-09-04,220.85,,
2024-09-05,222.38,,
2024-09-06,220.82,,
2024-09-09,220.91,,
2024-09-10,220.11,,
2024-09-11,222.66,,
2024-09-12,222.77,,
2024-09-13,222.5,,
2024-09-16,216.32,,
2024-09-17,216.79,,
2024-09-18,220.69,,
2024-09-19,228.87,,
2024-09-20,228.2,,
2024-09-23,226.47,,
2024-09-24,227.37,,
2024-09-25,226.37,,
2024-09-26,227.52,222.0196,
2024-09-27,227.79,222.0918,
2024-09-30,233.0,222.2656,
2024-10-01,226.21,222.31059999999997,
2024-10-02,226.78,222.34600000000003,
2024-10-03,225.67,222.48860000000002,
2024-10-04,226.8,222.6748,
2024-10-07,221.69,222.74939999999998,
2024-10-08,225.77,222.9,
2024-10-09,229.54,223.1148,
2024-10-10,229.04,223.25400000000002,
2024-10-11,227.55,223.43779999999998,
2024-10-14,231.3,223.6666,
2024-10-15,233.85,224.1582,
2024-10-16,231.78,224.64919999999998,
2024-10-17,232.15,225.09579999999997,
2024-10-18,235.0,225.5296,
2024-10-21,236.48,225.9344,
2024-10-22,235.86,226.301,
2024-10-23,230.76,226.49079999999998,
2024-10-24,230.57,226.6678,
2024-10-25,231.41,226.8016,
2024-10-28,233.4,226.9486,
2024-10-29,233.67,227.1042,
2024-10-30,230.1,227.176,
2024-10-31,225.91,227.1662,
2024-11-01,222.91,227.13379999999998,
2024-11-04,222.01,227.03719999999998,
2024-11-05,223.45,226.9626,
2024-11-06,222.72,226.8564,
2024-11-07,227.48,226.87619999999998,
2024-11-08,226.96,226.81959999999998,
2024-11-11,224.23,226.7242,
2024-11-12,224.23,226.75339999999997,
2024-11-13,225.12,226.83880000000002,
2024-11-14,228.22,226.95559999999998,
2024-11-15,225.0,227.0392,
2024-11-18,228.02,227.1814,
2024-11-19,228.28,227.3448,
2024-11-20,229.0,227.4716,
2024-11-21,228.52,227.58660000000003,
2024-11-22,229.87,227.734,
2024-11-25,232.87,228.065,
2024-11-26,235.06,228.43040000000002,
2024-11-27,234.93,228.7152,
2024-11-29,237.33,228.88440000000003,
2024-12-02,239.59,229.1122,
2024-12-03,242.65,229.43580000000003,
2024-12-04,243.01,229.7486,
2024-12-05,243.04,230.08199999999997,
2024-12-06,242.84,230.3884,
2024-12-09,246.75,230.7676,
2024-12-10,247.77,231.063,
2024-12-11,246.49,231.4686,
2024-12-12,247.96,231.8922,
2024-12-13,248.13,232.3414,
2024-12-16,251.04,232.82620000000003,
2024-12-17,253.48,233.46200000000002,
2024-12-18,248.05,233.90759999999997,
2024-12-19,249.79,234.31260000000003,
2024-12-20,254.49,234.8216,
2024-12-23,255.27,235.37600000000003,
2024-12-24,258.2,235.914,
2024-12-26,259.02,236.41740000000001,
2024-12-27,255.59,236.8936,
2024-12-30,252.2,237.2946,
2024-12-31,250.42,237.60299999999998,
2025-01-02,243.85,237.75039999999998,
2025-01-03,243.36,237.90040000000002,
2025-01-06,245.0,238.1852,
2025-01-07,242.21,238.418,
2025-01-08,242.7,238.6438,
2025-01-10,236.85,238.71280000000002,
2025-01-13,234.4,238.72740000000002,
2025-01-14,233.28,238.79100000000003,
2025-01-15,237.87,239.0302,
2025-01-16,228.26,239.1372,
2025-01-17,229.98,239.2966,
2025-01-21,222.64,239.28040000000001,
2025-01-22,223.83,239.3026,
2025-01-23,223.66,239.22620000000003,
2025-01-24,222.78,239.1426,
2025-01-27,229.86,239.2552,
2025-01-28,238.26,239.53580000000002,
2025-01-29,239.36,239.8206,
2025-01-30,237.59,240.00800000000004,
2025-01-31,236.0,240.22800000000004,
2025-02-03,228.01,240.2278,
2025-02-04,232.8,240.3182,
2025-02-05,232.47,240.3876,
2025-02-06,233.22,240.4816,
2025-02-07,227.63,240.4368,
2025-02-10,227.65,240.33239999999998,
2025-02-11,232.62,240.2836,
2025-02-12,236.87,240.3224,
2025-02-13,241.53,240.4064,
2025-02-14,244.6,240.5066,
2025-02-18,244.47,240.543,
2025-02-19,244.87,240.5802,
2025-02-20,245.83,240.63600000000002,
2025-02-21,245.55,240.6902,
2025-02-24,247.1,240.6972,
2025-02-25,247.04,240.68259999999998,
2025-02-26,240.36,240.56,
2025-02-27,237.3,240.3468,
2025-02-28,241.84,240.22099999999998,
2025-03-03,238.03,239.96079999999998,
2025-03-04,235.93,239.6098,
2025-03-05,235.74,239.36360000000002,
2025-03-06,235.33,239.0744,
2025-03-07,239.07,238.766,
2025-03-10,227.48,238.21020000000001,
2025-03-11,220.84,237.463,
2025-03-12,216.98,236.62220000000002,
2025-03-13,209.68,235.704,
2025-03-14,213.49,234.92980000000003,
2025-03-17,214.0,234.20140000000004,
2025-03-18,212.69,233.5782,
2025-03-19,215.24,233.01579999999998,
2025-03-20,214.1,232.3978,
2025-03-21,218.27,231.919,
2025-03-24,220.73,231.4796,
2025-03-25,223.75,231.21759999999998,
2025-03-26,221.53,230.96020000000001,
2025-03-27,223.85,230.7716,
2025-03-28,217.9,230.37220000000002,
2025-03-31,222.13,230.2496,
2025-04-01,223.19,230.1138,
2025-04-02,223.89,230.13879999999997,
2025-04-03,203.19,229.726,
2025-04-04,188.38,229.0204,
2025-04-07,181.46,228.19400000000002,
2025-04-08,172.42,227.0452,
2025-04-09,198.85,226.257,
2025-04-10,190.42,225.2782,
2025-04-11,198.15,224.4894,
2025-04-14,202.52,223.8198,
2025-04-15,202.14,223.3024,
2025-04-16,194.27,222.5318,
2025-04-17,196.98,221.822,
2025-04-21,193.16,221.02079999999998,
2025-04-22,199.74,220.463,
2025-04-23,204.6,220.002,
2025-04-24,208.37,219.517,
2025-04-25,209.28,218.9652,
2025-04-28,210.14,218.3374,
2025-04-29,211.21,217.6696,
2025-04-30,212.5,217.0302,
2025-05-01,213.32,216.39919999999998,
2025-05-02,205.35,215.5896,
2025-05-05,198.89,214.6564,226.93865000000002
